,nconst,tconst,crew.type,primaryName,primaryProfession,gender
341,nm0000095,1178663,writer,Woody Allen,"writer,director,actor",Male
342,nm0000095,1182350,director,Woody Allen,"writer,director,actor",Male
343,nm0000095,5825380,writer,Woody Allen,"writer,director,actor",Male
344,nm0000095,1859650,writer,Woody Allen,"writer,director,actor",Male
345,nm0000095,104466,writer,Woody Allen,"writer,director,actor",Male
346,nm0000095,416320,writer,Woody Allen,"writer,director,actor",Male
347,nm0000095,73312,director,Woody Allen,"writer,director,actor",Male
348,nm0000095,158371,director,Woody Allen,"writer,director,actor",Male
349,nm0000095,416320,director,Woody Allen,"writer,director,actor",Male
350,nm0000095,75686,director,Woody Allen,"writer,director,actor",Male
351,nm0000095,94663,director,Woody Allen,"writer,director,actor",Male
352,nm0000095,120533,writer,Woody Allen,"writer,director,actor",Male
353,nm0000095,1178663,director,Woody Allen,"writer,director,actor",Male
354,nm0000095,66808,writer,Woody Allen,"writer,director,actor",Male
355,nm0000095,97123,writer,Woody Allen,"writer,director,actor",Male
356,nm0000095,75686,writer,Woody Allen,"writer,director,actor",Male
357,nm0000095,89853,director,Woody Allen,"writer,director,actor",Male
358,nm0000095,65063,writer,Woody Allen,"writer,director,actor",Male
359,nm0000095,1605783,writer,Woody Allen,"writer,director,actor",Male
360,nm0000095,73312,writer,Woody Allen,"writer,director,actor",Male
361,nm0000095,2870756,writer,Woody Allen,"writer,director,actor",Male
362,nm0000095,99012,director,Woody Allen,"writer,director,actor",Male
363,nm0000095,70707,writer,Woody Allen,"writer,director,actor",Male
364,nm0000095,107507,writer,Woody Allen,"writer,director,actor",Male
365,nm0000095,2870756,director,Woody Allen,"writer,director,actor",Male
366,nm0000095,2334873,director,Woody Allen,"writer,director,actor",Male
367,nm0000095,91167,director,Woody Allen,"writer,director,actor",Male
368,nm0000095,70707,director,Woody Allen,"writer,director,actor",Male
369,nm0000095,1859650,director,Woody Allen,"writer,director,actor",Male
