"","nconst","tconst","ordering","category","primaryName","primaryProfession"
"258","nm0000031","0035567",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
"259","nm0000031","0061735",3,"actress","Katharine Hepburn","actress,soundtrack,writer"
"260","nm0000031","0063227",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
"261","nm0000031","0067881",1,"actress","Katharine Hepburn","actress,soundtrack,writer"
"262","nm0000031","0041090",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
"263","nm0000031","0024264",1,"actress","Katharine Hepburn","actress,soundtrack,writer"
"264","nm0000031","0053318",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
"265","nm0000031","0043265",2,"actress","Katharine Hepburn","actress,soundtrack,writer"
"266","nm0000031","0029604",1,"actress","Katharine Hepburn","actress,soundtrack,writer"
"267","nm0000032","0054847",1,"actor","Charlton Heston","actor,director,writer"
"268","nm0000032","0056800",1,"actor","Charlton Heston","actor,director,writer"
"269","nm0000032","0049833",1,"actor","Charlton Heston","actor,director,writer"
"270","nm0000032","0063442",1,"actor","Charlton Heston","actor,director,writer"
"271","nm0000032","0052311",1,"actor","Charlton Heston","actor,director,writer"
"272","nm0000032","0052618",1,"actor","Charlton Heston","actor,director,writer"
"273","nm0000033","0042994",5,"director","Alfred Hitchcock","actor,director,producer"
"274","nm0000033","0021015",5,"director","Alfred Hitchcock","actor,director,producer"
"275","nm0000033","0046912",5,"director","Alfred Hitchcock","actor,director,producer"
"276","nm0000033","0039694",5,"director","Alfred Hitchcock","actor,director,producer"
"277","nm0000033","0052357",5,"director","Alfred Hitchcock","actor,director,producer"
"278","nm0000033","0051207",5,"director","Alfred Hitchcock","actor,director,producer"
"279","nm0000033","0045897",5,"director","Alfred Hitchcock","actor,director,producer"
"280","nm0000033","0023285",5,"director","Alfred Hitchcock","actor,director,producer"
"281","nm0000033","0038109",5,"director","Alfred Hitchcock","actor,director,producer"
"282","nm0000033","0038787",5,"director","Alfred Hitchcock","actor,director,producer"
"283","nm0000033","0037017",5,"director","Alfred Hitchcock","actor,director,producer"
"284","nm0000033","0053125",5,"director","Alfred Hitchcock","actor,director,producer"
"285","nm0000033","0035279",5,"director","Alfred Hitchcock","actor,director,producer"
"286","nm0000033","0042004",5,"director","Alfred Hitchcock","actor,director,producer"
"287","nm0000033","0021165",5,"director","Alfred Hitchcock","actor,director,producer"
"288","nm0000033","0029811",5,"director","Alfred Hitchcock","actor,director,producer"
"289","nm0000033","0017825",5,"director","Alfred Hitchcock","actor,director,producer"
"290","nm0000033","0068611",5,"director","Alfred Hitchcock","actor,director,producer"
"291","nm0000033","0061107",5,"director","Alfred Hitchcock","actor,director,producer"
"292","nm0000033","0044079",5,"director","Alfred Hitchcock","actor,director,producer"
"293","nm0000033","0019702",5,"director","Alfred Hitchcock","actor,director,producer"
"294","nm0000033","0023395",5,"director","Alfred Hitchcock","actor,director,producer"
"295","nm0000033","0058329",5,"director","Alfred Hitchcock","actor,director,producer"
"296","nm0000033","0040746",5,"director","Alfred Hitchcock","actor,director,producer"
"297","nm0000033","0035279",5,"director","Alfred Hitchcock","actor,director,producer"
"298","nm0000033","0054215",5,"director","Alfred Hitchcock","actor,director,producer"
"299","nm0000033","0022395",5,"director","Alfred Hitchcock","actor,director,producer"
"300","nm0000033","0036342",5,"director","Alfred Hitchcock","actor,director,producer"
"301","nm0000033","0047396",5,"director","Alfred Hitchcock","actor,director,producer"
"302","nm0000034","0046359",1,"actor","William Holden","actor,soundtrack"
"303","nm0000034","0043014",1,"actor","William Holden","actor,soundtrack"
"304","nm0000034","0042276",2,"actor","William Holden","actor,soundtrack"
"305","nm0000034","0050212",1,"actor","William Holden","actor,soundtrack"
"306","nm0000034","0046963",1,"actor","William Holden","actor,soundtrack"
"307","nm0000035","0080421",10,"composer","James Horner","music_department,soundtrack,composer"
"308","nm0000035","0338188",10,"composer","James Horner","music_department,soundtrack,composer"
"309","nm0000035","0268978",9,"composer","James Horner","music_department,soundtrack,composer"
"310","nm0000035","0402399",7,"composer","James Horner","music_department,soundtrack,composer"
"311","nm0000035","0117718",7,"composer","James Horner","music_department,soundtrack,composer"
"312","nm0000035","0408790",9,"composer","James Horner","music_department,soundtrack,composer"
"313","nm0000035","0088944",10,"composer","James Horner","music_department,soundtrack,composer"
"314","nm0000035","0120338",7,"composer","James Horner","music_department,soundtrack,composer"
"315","nm0000035","0088170",7,"composer","James Horner","music_department,soundtrack,composer"
"316","nm0000035","0405676",10,"composer","James Horner","music_department,soundtrack,composer"
"317","nm0000035","0120647",10,"composer","James Horner","music_department,soundtrack,composer"
"318","nm0000035","0110322",10,"composer","James Horner","music_department,soundtrack,composer"
"319","nm0000035","0815178",10,"composer","James Horner","music_department,soundtrack,composer"
"320","nm0000035","0097351",9,"composer","James Horner","music_department,soundtrack,composer"
"321","nm0000035","0085811",8,"composer","James Horner","music_department,soundtrack,composer"
"322","nm0000036","0015324",1,"actor","Buster Keaton","actor,writer,director"
"323","nm0000036","0044837",4,"actor","Buster Keaton","actor,writer,director"
"324","nm0000036","0012543",1,"actor","Buster Keaton","actor,writer,director"
"325","nm0000036","0016332",1,"actor","Buster Keaton","actor,writer,director"
"326","nm0000036","0018742",1,"actor","Buster Keaton","actor,writer,director"
"327","nm0000036","0014341",1,"actor","Buster Keaton","actor,writer,director"
"328","nm0000036","0015863",1,"actor","Buster Keaton","actor,writer,director"
"329","nm0000036","0015163",1,"actor","Buster Keaton","actor,writer,director"
"330","nm0000036","0019421",1,"actor","Buster Keaton","actor,writer,director"
"331","nm0000036","0017925",1,"actor","Buster Keaton","actor,writer,director"
"332","nm0000037","0043012",2,"actor","Gene Kelly","actor,soundtrack,director"
"333","nm0000037","0043278",1,"actor","Gene Kelly","actor,soundtrack,director"
"334","nm0000037","0036723",2,"actor","Gene Kelly","actor,soundtrack,director"
"335","nm0000037","0064418",5,"director","Gene Kelly","actor,soundtrack,director"
"336","nm0000037","0034746",3,"actor","Gene Kelly","actor,soundtrack,director"
"337","nm0000037","0053946",3,"actor","Gene Kelly","actor,soundtrack,director"
"338","nm0000037","0037514",3,"actor","Gene Kelly","actor,soundtrack,director"
"339","nm0000037","0041716",1,"actor","Gene Kelly","actor,soundtrack,director"
"340","nm0000037","0045152",1,"actor","Gene Kelly","actor,soundtrack,director"
"341","nm0000037","0081777",2,"actor","Gene Kelly","actor,soundtrack,director"
"342","nm0000038","0046912",2,"actress","Grace Kelly","actress,soundtrack"
"343","nm0000038","0044706",2,"actress","Grace Kelly","actress,soundtrack"
"344","nm0000038","0047396",2,"actress","Grace Kelly","actress,soundtrack"
"345","nm0000038","0046085",2,"actress","Grace Kelly","actress,soundtrack"
"346","nm0000039","0057933",1,"actress","Deborah Kerr","actress,soundtrack"
"347","nm0000039","0055018",1,"actress","Deborah Kerr","actress,soundtrack"
"348","nm0000039","0052182",2,"actress","Deborah Kerr","actress,soundtrack"
"349","nm0000039","0050105",2,"actress","Deborah Kerr","actress,soundtrack"
"350","nm0000039","0043949",2,"actress","Deborah Kerr","actress,soundtrack"
"351","nm0000039","0036112",2,"actress","Deborah Kerr","actress,soundtrack"
"352","nm0000039","0050490",2,"actress","Deborah Kerr","actress,soundtrack"
"353","nm0000039","0045793",3,"actress","Deborah Kerr","actress,soundtrack"
"354","nm0000040","0045758",5,"director","Stanley Kubrick","director,writer,producer"
"355","nm0000040","0120663",5,"director","Stanley Kubrick","director,writer,producer"
"356","nm0000040","0048254",5,"director","Stanley Kubrick","director,writer,producer"
"357","nm0000040","0066921",5,"director","Stanley Kubrick","director,writer,producer"
"358","nm0000040","0050825",5,"director","Stanley Kubrick","director,writer,producer"
"359","nm0000040","0081505",5,"director","Stanley Kubrick","director,writer,producer"
"360","nm0000040","0062622",5,"director","Stanley Kubrick","director,writer,producer"
"361","nm0000040","0054331",5,"director","Stanley Kubrick","director,writer,producer"
"362","nm0000041","0036400",5,"director","Akira Kurosawa","writer,director,assistant_director"
"363","nm0000041","0058461",10,"writer","Akira Kurosawa","writer,director,assistant_director"
"364","nm0000041","0051808",5,"director","Akira Kurosawa","writer,director,assistant_director"
"365","nm0000041","0065649",5,"director","Akira Kurosawa","writer,director,assistant_director"
"366","nm0000041","2404435",6,"writer","Akira Kurosawa","writer,director,assistant_director"
"367","nm0000041","0050613",5,"director","Akira Kurosawa","writer,director,assistant_director"
"368","nm0000041","0042958",5,"director","Akira Kurosawa","writer,director,assistant_director"
"369","nm0000041","0043614",5,"director","Akira Kurosawa","writer,director,assistant_director"
"370","nm0000041","0044741",5,"director","Akira Kurosawa","writer,director,assistant_director"
"371","nm0000041","0036947",5,"director","Akira Kurosawa","writer,director,assistant_director"
"372","nm0000041","0042876",5,"director","Akira Kurosawa","writer,director,assistant_director"
"373","nm0000041","0054047",9,"writer","Akira Kurosawa","writer,director,assistant_director"
"374","nm0000042","0046303",1,"actor","Alan Ladd","actor,producer,camera_department"
"375","nm0000043","0036367",3,"actress","Veronica Lake","actress,soundtrack,producer"
"376","nm0000044","0052182",4,"actor","Burt Lancaster","actor,producer,miscellaneous"
"377","nm0000044","0052151",2,"actor","Burt Lancaster","actor,producer,miscellaneous"
"378","nm0000044","0045793",1,"actor","Burt Lancaster","actor,producer,miscellaneous"
"379","nm0000044","0059825",1,"actor","Burt Lancaster","actor,producer,miscellaneous"
