,tconst,id,title,bechdel_rating,year,averageRating,numVotes,runtimeMinutes,genres,primaryTitle
4687,892255.0,503,Che: Part One,1,2008,7.2,40872.0,134,"Biography,Drama,History",Che: Part One
4688,892318.0,823,Letters to Juliet,3,2010,6.6,81904.0,105,"Adventure,Comedy,Drama",Letters to Juliet
4689,892769.0,711,How to Train Your Dragon,3,2010,8.1,562684.0,98,"Action,Adventure,Animation",How to Train Your Dragon
4690,892782.0,2656,Monsters vs Aliens,3,2009,6.5,127775.0,94,"Action,Adventure,Animation",Monsters vs. Aliens
4691,892791.0,894,Shrek Forever After,1,2010,6.3,155452.0,93,"Adventure,Animation,Comedy",Shrek Forever After
4692,892899.0,2858,Outpost,0,2008,5.9,14877.0,90,"Action,Horror,Sci-Fi",Outpost
4693,893402.0,584,Franklyn,2,2008,6.2,15721.0,98,"Drama,Fantasy,Sci-Fi",Franklyn
4694,893412.0,5160,From Prada to Nada,3,2011,5.5,12959.0,107,"Comedy,Drama,Romance",From Prada to Nada
4695,896031.0,2357,"Loss of a Teardrop Diamond, The",3,2008,5.9,2059.0,102,"Drama,Romance",The Loss of a Teardrop Diamond
4696,896529.0,1440,Cairo Time,3,2009,6.7,5731.0,90,"Drama,Romance",Cairo Time
4697,896534.0,5050,Deadgirl,0,2008,5.7,16868.0,101,Horror,Deadgirl
4698,896798.0,7773,Cleaner,1,2007,6.1,34641.0,88,"Crime,Mystery,Thriller",Cleaner
